"","sp1_name","sp2_name","obs_cooccur"
"4","Desulfovibrio desulfuricans","Desulfovibrio piger",66
"5","Desulfovibrio desulfuricans","Bilophila wadsworthia",107
"6","Desulfovibrio desulfuricans","Desulfovibrio vulgaris",21
"8","Desulfovibrio desulfuricans","Desulfitibacter alkalitolerans",21
"19","uncultured Desulfovibrio sp. ADDR01000049, ACWM01000066","Bilophila wadsworthia",25
"25","Desulfovibrio piger","Bilophila wadsworthia",54
"33","Bilophila wadsworthia","Desulfovibrio vulgaris",39
"36","Bilophila wadsworthia","uncultured Firmicute from industrial environment AY751286",55
"37","Bilophila wadsworthia","Desulfitibacter alkalitolerans",50
"40","Bilophila wadsworthia","Gordonibacter pamelaeae",21
"49","uncultured Firmicute from industrial environment AY751286","Desulfitibacter alkalitolerans",123
